no,date,temp,hr
1,10/08/25,15.146,83.011
2,11/08/25,15.418,91.283
3,12/08/25,17.113,91.837
4,13/08/25,17.610,90.008
5,14/08/25,18.567,94.496
6,15/08/25,18.260,84.050
7,16/08/25,15.149,68.292
8,17/08/25,12.759,86.862
9,18/08/25,12.652,89.308
10,19/08/25,15.341,84.017
11,20/08/25,14.580,85.367
12,21/08/25,12.591,91.425
13,22/08/25,13.148,90.421
14,23/08/25,13.012,91.067
15,24/08/25,11.860,93.800
16,25/08/25,15.511,91.975
17,26/08/25,17.008,90.450
18,27/08/25,18.029,87.017
19,28/08/25,18.518,90.837
20,29/08/25,17.497,95.196
21,30/08/25,15.309,80.800
22,31/08/25,12.118,72.700
23,01/09/25,9.819,80.388
24,02/09/25,9.046,58.021
25,03/09/25,6.114,56.775
26,04/09/25,7.858,56.754
27,05/09/25,8.509,72.938
28,06/09/25,10.691,95.650
