no,date,temp,hr
1,10/28/25 12:00:00 AM,15.146,83.011
2,10/29/25 12:00:00 AM,15.418,91.283
3,10/30/25 12:00:00 AM,17.113,91.837
4,10/31/25 12:00:00 AM,17.610,90.008
5,11/01/25 12:00:00 AM,18.567,94.496
6,11/02/25 12:00:00 AM,18.260,84.050
7,11/03/25 12:00:00 AM,15.149,68.292
8,11/04/25 12:00:00 AM,12.759,86.862
9,11/05/25 12:00:00 AM,12.652,89.308
10,11/06/25 12:00:00 AM,15.341,84.017
11,11/07/25 12:00:00 AM,14.580,85.367
12,11/08/25 12:00:00 AM,12.591,91.425
13,11/09/25 12:00:00 AM,13.148,90.421
14,11/10/25 12:00:00 AM,13.012,91.067
15,11/11/25 12:00:00 AM,11.860,93.800
16,11/12/25 12:00:00 AM,15.511,91.975
17,11/13/25 12:00:00 AM,17.008,90.450
18,11/14/25 12:00:00 AM,18.029,87.017
19,11/15/25 12:00:00 AM,18.518,90.837
20,11/16/25 12:00:00 AM,17.497,95.196
21,11/17/25 12:00:00 AM,15.309,80.800
22,11/18/25 12:00:00 AM,12.118,72.700
23,11/19/25 12:00:00 AM,9.819,80.388
24,11/20/25 12:00:00 AM,9.046,58.021
25,11/21/25 12:00:00 AM,6.114,56.775
26,11/22/25 12:00:00 AM,7.858,56.754
27,11/23/25 12:00:00 AM,8.509,72.938
28,11/24/25 12:00:00 AM,10.691,95.650
